,east,north,tvd
49734,1546.1544821724276,303.20803121422324,2021.6161609851606
49735,1546.1926701366633,303.2080452584257,2021.6543560799914
49736,1546.2308581012478,303.208059301256,2021.6925511744741
49737,1546.2690460661813,303.2080733427141,2021.7307462686085
49738,1546.3072340314634,303.2080873828,2021.7689413623948
49739,1546.3454219970943,303.2081014215137,2021.8071364558327
49740,1546.383609963074,303.20811545885516,2021.8453315489226
49741,1546.4217979294024,303.20812949482445,2021.883526641664
49742,1546.4599858960798,303.20814352942153,2021.9217217340574
49743,1546.4981738631059,303.2081575626464,2021.9599168261025
49744,1546.5363618304807,303.2081715944991,2021.9981119177994
49745,1546.5745497982043,303.20818562497954,2022.036307009148
49746,1546.612737766277,303.20819965408776,2022.0745021001485
49747,1546.6509257346984,303.2082136818238,2022.1126971908006
49748,1546.6891137034684,303.2082277081876,2022.1508922811047
49749,1546.7273016725871,303.20824173317925,2022.1890873710604
49750,1546.7654896420547,303.2082557567987,2022.227282460668
49751,1546.8036776118713,303.2082697790459,2022.2654775499273
49752,1546.8418655820365,303.20828379992093,2022.3036726388384
49753,1546.8800535525504,303.20829781942376,2022.3418677274012
49754,1546.9182415234131,303.2083118375544,2022.380062815616
49755,1546.9564294946247,303.2083258543128,2022.4182579034823
49756,1546.9946174661852,303.20833986969905,2022.4564529910006
49757,1547.0328054380943,303.2083538837131,2022.4946480781705
49758,1547.0709934103522,303.2083678963549,2022.5328431649923
49759,1547.109181382959,303.2083819076245,2022.5710382514658
49760,1547.1473693559146,303.20839591752195,2022.6092333375911
49761,1547.1855573292191,303.2084099260472,2022.6474284233682
49762,1547.2237453028722,303.2084239332002,2022.685623508797
49763,1547.261933276874,303.20843793898104,2022.7238185938777
49764,1547.3001212512247,303.20845194338966,2022.7620136786102
49765,1547.3383092259244,303.2084659464261,2022.8002087629943
49766,1547.3764972009726,303.2084799480903,2022.8384038470303
49767,1547.4146851763696,303.20849394838234,2022.876598930718
49768,1547.4528731521154,303.20850794730217,2022.9147940140574
49769,1547.49106112821,303.2085219448498,2022.9529890970487
49770,1547.5292491046537,303.2085359410252,2022.9911841796916
49771,1547.5674370814459,303.20854993582844,2023.0293792619864
49772,1547.6056250585868,303.20856392925947,2023.0675743439328
49773,1547.6438130360766,303.20857792131824,2023.1057694255312
49774,1547.6820010139154,303.2085919120048,2023.1439645067812
49775,1547.720188992103,303.2086059013192,2023.1821595876831
49776,1547.7583769706391,303.20861988926134,2023.2203546682367
49777,1547.796564949524,303.2086338758313,2023.2585497484422
49778,1547.8347529287578,303.2086478610291,2023.2967448282993
49779,1547.8729409083405,303.20866184485465,2023.3349399078083
49780,1547.9111288882718,303.208675827308,2023.373134986969
49781,1547.949316868552,303.2086898083892,2023.4113300657816
49782,1547.9875048491808,303.20870378809815,2023.4495251442459
49783,1548.0256928301585,303.2087177664349,2023.487720222362
49784,1548.0638808114852,303.2087317433995,2023.5259153001298
49785,1548.1020687931605,303.20874571899185,2023.5641103775495
49786,1548.1402567751845,303.208759693212,2023.6023054546208
49787,1548.1784447575574,303.20877366606,2023.640500531344
49788,1548.216632740279,303.20878763753575,2023.678695607719
49789,1548.2548207233497,303.2088016076393,2023.7168906837458
49790,1548.293008706769,303.2088155763707,2023.7550857594242
49791,1548.331196690537,303.20882954372985,2023.7932808347546
49792,1548.3693846746537,303.2088435097168,2023.8314759097366
49793,1548.4075726591193,303.2088574743316,2023.8696709843705
49794,1548.4457606439337,303.20887143757415,2023.907866058656
49795,1548.4839486290969,303.2088853994445,2023.9460611325935
49796,1548.5221366146088,303.2088993599427,2023.9842562061826
49797,1548.5603246004696,303.20891331906864,2024.0224512794236
49798,1548.5985125866794,303.2089272768224,2024.0606463523163
49799,1548.6367005732377,303.208941233204,2024.098841424861
49800,1548.6748885601448,303.20895518821334,2024.1370364970571
49801,1548.7130765474008,303.2089691418505,2024.1752315689052
49802,1548.7512645350055,303.20898309411547,2024.213426640405
49803,1548.7894525229592,303.20899704500823,2024.2516217115567
49804,1548.8276405112615,303.2090109945288,2024.28981678236
49805,1548.8658284999126,303.20902494267716,2024.3280118528153
49806,1548.9040164889125,303.2090388894533,2024.3662069229222
49807,1548.9422044782611,303.2090528348573,2024.404401992681
49808,1548.9803924679586,303.20906677888905,2024.4425970620914
49809,1549.0185804580049,303.2090807215486,2024.4807921311537
49810,1549.0567684484,303.209094662836,2024.5189871998678
49811,1549.0949564391437,303.20910860275114,2024.5571822682336
49812,1549.1331444302364,303.2091225412941,2024.5953773362512
49813,1549.1713324216778,303.20913647846487,2024.6335724039207
49814,1549.209520413468,303.20915041426343,2024.6717674712418
49815,1549.247708405607,303.2091643486898,2024.7099625382148
49816,1549.2858963980948,303.20917828174396,2024.7481576048394
49817,1549.3240843909314,303.2091922134259,2024.786352671116
49818,1549.3622723841167,303.2092061437357,2024.8245477370442
49819,1549.400460377651,303.20922007267325,2024.8627428026243
49820,1549.4386483715339,303.2092340002386,2024.900937867856
49821,1549.4768363657656,303.2092479264318,2024.9391329327398
49822,1549.515024360346,303.20926185125273,2024.977327997275
49823,1549.5532123552753,303.2092757747015,2025.0155230614623
49824,1549.5914003505534,303.20928969677806,2025.0537181253012
49825,1549.6295883461803,303.2093036174824,2025.091913188792
49826,1549.667776342156,303.20931753681464,2025.1301082519344
49827,1549.7059643384803,303.20933145477466,2025.1683033147287
49828,1549.7441523351536,303.2093453713625,2025.2064983771747
49829,1549.7823403321756,303.2093592865781,2025.2446934392726
49830,1549.8205283295465,303.2093732004215,2025.2828885010224
49831,1549.858716327266,303.2093871128927,2025.3210835624238
49832,1549.8969043253342,303.20940102399175,2025.3592786234772
49833,1549.9350923237514,303.20941493371856,2025.3974736841822
49834,1549.9732803225174,303.2094288420732,2025.435668744539
49835,1550.0114683216323,303.2094427490556,2025.4738638045476
49836,1550.0496563210957,303.2094566546658,2025.512058864208
49837,1550.0878443209078,303.20947055890383,2025.5502539235201
49838,1550.126032321069,303.20948446176965,2025.5884489824841
49839,1550.164220321579,303.20949836326326,2025.6266440410998
49840,1550.2024083224376,303.2095122633847,2025.6648390993673
49841,1550.240596323645,303.2095261621339,2025.7030341572865
49842,1550.278784325201,303.2095400595109,2025.7412292148576
49843,1550.3169723271062,303.20955395551573,2025.7794242720804
49844,1550.3551603293602,303.20956785014835,2025.817619328955
49845,1550.3933483319627,303.20958174340876,2025.8558143854814
49846,1550.431536334914,303.209595635297,2025.8940094416596
49847,1550.469724338214,303.209609525813,2025.9322044974895
49848,1550.5079123418632,303.2096234149568,2025.9703995529712
49849,1550.546100345861,303.2096373027284,2026.0085946081047
49850,1550.5842883502075,303.20965118912784,2026.04678966289
49851,1550.6224763549028,303.20966507415505,2026.084984717327
49852,1550.6606643599468,303.20967895781007,2026.1231797714158
49853,1550.69885236534,303.2096928400929,2026.1613748251564
49854,1550.7370403710815,303.2097067210035,2026.1995698785488
49855,1550.775228377172,303.2097206005419,2026.237764931593
49856,1550.8134163836112,303.2097344787081,2026.2759599842889
49857,1550.8516043903992,303.20974835550214,2026.3141550366365
49858,1550.889792397536,303.20976223092396,2026.352350088636
49859,1550.9279804050216,303.20977610497357,2026.3905451402873
49860,1550.966168412856,303.209789977651,2026.4287401915904
49861,1551.0043564210391,303.2098038489562,2026.466935242545
49862,1551.042544429571,303.2098177188892,2026.5051302931518
49863,1551.0807324384516,303.20983158745,2026.54332534341
49864,1551.1189204476811,303.20984545463864,2026.5815203933203
49865,1551.1571084572595,303.20985932045505,2026.6197154428821
49866,1551.1952964671866,303.20987318489927,2026.6579104920959
49867,1551.2334844774625,303.2098870479713,2026.6961055409613
49868,1551.271672488087,303.2099009096711,2026.7343005894786
49869,1551.3098604990605,303.2099147699987,2026.7724956376476
49870,1551.3480485103828,303.2099286289541,2026.8106906854684
49871,1551.3862365220539,303.20994248653733,2026.848885732941
49872,1551.4244245340735,303.20995634274834,2026.8870807800654
49873,1551.462612546442,303.2099701975872,2026.9252758268415
49874,1551.5008005591594,303.2099840510539,2026.9634708732694
49875,1551.5389885722257,303.20999790314835,2027.001665919349
49876,1551.5771765856407,303.2100117538706,2027.0398609650806
49877,1551.6153645994043,303.2100256032207,2027.0780560104638
49878,1551.6535526135167,303.21003945119855,2027.1162510554989
49879,1551.6917406279779,303.2100532978042,2027.1544461001856
49880,1551.729928642788,303.2100671430377,2027.1926411445243
49881,1551.7681166579468,303.21008098689896,2027.2308361885146
49882,1551.8063046734544,303.210094829388,2027.2690312321567
49883,1551.8444926893108,303.2101086705049,2027.3072262754506
49884,1551.882680705516,303.21012251024956,2027.3454213183963
49885,1551.92086872207,303.21013634862203,2027.3836163609938
49886,1551.9590567389728,303.2101501856223,2027.421811403243
49887,1551.9972447562243,303.21016402125036,2027.460006445144
49888,1552.0354327738246,303.21017785550623,2027.4982014866969
49889,1552.0736207917737,303.2101916883899,2027.5363965279014
49890,1552.1118088100716,303.21020551990136,2027.5745915687578
49891,1552.1499968287183,303.21021935004063,2027.6127866092659
49892,1552.1881848477137,303.2102331788077,2027.6509816494258
49893,1552.226372867058,303.21024700620256,2027.6891766892375
49894,1552.264560886751,303.21026083222523,2027.727371728701
49895,1552.3027489067927,303.2102746568757,2027.7655667678162
49896,1552.3409369271833,303.21028848015396,2027.8037618065832
49897,1552.3791249479227,303.21030230206003,2027.841956845002
49898,1552.417312969011,303.2103161225939,2027.8801518830726
49899,1552.4555009904477,303.21032994175556,2027.9183469207949
49900,1552.4936890122333,303.210343759545,2027.956541958169
49901,1552.5318770343679,303.2103575759623,2027.994736995195
49902,1552.5700650568513,303.21037139100736,2028.0329320318726
49903,1552.6082530796834,303.2103852046802,2028.071127068202
49904,1552.6464411028642,303.2103990169809,2028.1093221041833
49905,1552.6846291263937,303.21041282790935,2028.1475171398163
49906,1552.722817150272,303.2104266374656,2028.1857121751011
49907,1552.7610051744994,303.2104404456497,2028.2239072100376
49908,1552.7991931990753,303.21045425246155,2028.262102244626
49909,1552.837381224,303.2104680579012,2028.300297278866
49910,1552.8755692492734,303.2104818619687,2028.338492312758
49911,1552.9137572748957,303.21049566466394,2028.3766873463017
49912,1552.951945300867,303.210509465987,2028.4148823794972
